ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
10701274,HZ456699,10/01/2016 01:00:00 AM,043XX S CHAMPLAIN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,0221,002,4,38,08B,1181318,1876431,2016,10/08/2016 03:46:57 PM,41.816168195,-87.610398685,"(41.816168195, -87.610398685)"
10701221,HZ456721,10/01/2016 01:00:00 AM,051XX S DR MARTIN LUTHER KING JR DR,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,0231,002,3,40,07,1179796,1871087,2016,10/08/2016 03:46:57 PM,41.801538809,-87.616145232,"(41.801538809, -87.616145232)"
10701134,HZ456637,10/01/2016 01:00:00 AM,001XX N HAMLIN BLVD,0920,MOTOR VEHICLE THEFT,ATT: AUTOMOBILE,STREET,false,false,1122,011,28,26,07,1151041,1900302,2016,10/08/2016 03:46:57 PM,41.882318466,-87.720837208,"(41.882318466, -87.720837208)"
10701059,HZ456572,10/01/2016 01:00:00 AM,032XX N HALSTED ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1924,019,44,6,14,1170360,1921560,2016,10/08/2016 03:46:57 PM,41.940251326,-87.649275328,"(41.940251326, -87.649275328)"
10701993,HZ456553,10/01/2016 01:01:00 AM,021XX N MILWAUKEE AVE,0560,ASSAULT,SIMPLE,MOVIE HOUSE/THEATER,false,false,1431,014,1,22,08A,1158687,1914040,2016,10/08/2016 03:46:57 PM,41.919863513,-87.692384042,"(41.919863513, -87.692384042)"
10701688,HZ457254,10/01/2016 01:06:00 AM,055XX N HARLEM AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,CTA TRAIN,false,false,1612,016,41,10,14,1127370,1936569,2016,10/08/2016 03:46:57 PM,41.982270338,-87.806941262,"(41.982270338, -87.806941262)"
10701151,HZ456569,10/01/2016 01:10:00 AM,005XX W KINZIE ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,1214,012,42,24,08A,1173024,1902922,2016,10/08/2016 03:46:57 PM,41.889049011,-87.640038063,"(41.889049011, -87.640038063)"
10701085,HZ456560,10/01/2016 01:10:00 AM,014XX S ST LOUIS AVE,041A,BATTERY,AGGRAVATED: HANDGUN,SIDEWALK,false,false,1021,010,24,29,04B,1153271,1892811,2016,10/08/2016 03:46:57 PM,41.861718384,-87.71284742,"(41.861718384, -87.71284742)"
10701079,HZ456540,10/01/2016 01:10:00 AM,072XX S PHILLIPS AVE,0312,ROBBERY,ARMED:KNIFE/CUTTING INSTRUMENT,SIDEWALK,false,false,0334,003,7,43,03,1193762,1857383,2016,10/08/2016 03:46:57 PM,41.763602949,-87.565376421,"(41.763602949, -87.565376421)"
10701031,HZ456550,10/01/2016 01:10:00 AM,016XX N MENARD AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,RESIDENCE,false,true,2531,025,29,25,08B,1137505,1910283,2016,10/08/2016 03:46:57 PM,41.909961924,-87.770301678,"(41.909961924, -87.770301678)"
10701128,HZ456574,10/01/2016 01:12:00 AM,011XX N PINE AVE,2025,NARCOTICS,POSS: HALLUCINOGENS,VEHICLE NON-COMMERCIAL,true,false,1524,015,37,25,18,1139306,1906871,2016,10/08/2016 03:46:57 PM,41.900566362,-87.763768662,"(41.900566362, -87.763768662)"
10701078,HZ456565,10/01/2016 01:12:00 AM,023XX N LINCOLN AVE,1310,CRIMINAL DAMAGE,TO PROPERTY,RESTAURANT,false,false,1812,018,43,7,14,1171157,1915588,2016,10/08/2016 03:46:57 PM,41.92384641,-87.646521939,"(41.92384641, -87.646521939)"
10701130,HZ456561,10/01/2016 01:15:00 AM,002XX S CICERO AVE,5002,OTHER OFFENSE,OTHER VEHICLE OFFENSE,STREET,true,false,1533,015,28,25,26,1144415,1898849,2016,10/08/2016 03:46:57 PM,41.878458449,-87.745204753,"(41.878458449, -87.745204753)"
10701103,HZ456542,10/01/2016 01:24:00 AM,025XX S HOMAN AVE,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,true,false,1024,010,22,30,08B,1154106,1886932,2016,10/08/2016 03:46:57 PM,41.845569127,-87.709938937,"(41.845569127, -87.709938937)"
10701043,HZ456548,10/01/2016 01:25:00 AM,0000X W HUBBARD ST,0460,BATTERY,SIMPLE,BAR OR TAVERN,true,false,1831,018,42,8,08B,1176073,1903312,2016,10/08/2016 03:46:57 PM,41.890051047,-87.628829294,"(41.890051047, -87.628829294)"
10701148,HZ456541,10/01/2016 01:28:00 AM,011XX W CERMAK RD,0486,BATTERY,DOMESTIC BATTERY SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,true,1235,012,25,31,08B,1168996,1889574,2016,10/08/2016 03:46:57 PM,41.852509416,-87.655217611,"(41.852509416, -87.655217611)"
10702612,HZ458737,10/01/2016 01:30:00 AM,037XX W DEVON AVE,0820,THEFT,$500 AND UNDER,VEHICLE NON-COMMERCIAL,false,false,1711,017,39,13,06,1150087,1942165,2016,10/08/2016 03:46:57 PM,41.997212584,-87.723246308,"(41.997212584, -87.723246308)"
10701457,HZ457096,10/01/2016 01:30:00 AM,032XX W ALTGELD ST,0820,THEFT,$500 AND UNDER,SIDEWALK,false,false,1413,014,35,22,06,1153923,1916428,2016,10/08/2016 03:46:57 PM,41.926512754,-87.709824018,"(41.926512754, -87.709824018)"
10701351,HZ456844,10/01/2016 01:30:00 AM,001XX S LARAMIE AVE,0910,MOTOR VEHICLE THEFT,AUTOMOBILE,STREET,false,false,1533,015,28,25,07,1141746,1898918,2016,10/08/2016 03:46:57 PM,41.878697564,-87.755003172,"(41.878697564, -87.755003172)"
10701337,HZ456692,10/01/2016 01:30:00 AM,047XX W MAYPOLE AVE,0810,THEFT,OVER $500,STREET,false,false,1113,011,28,25,06,1144699,1901041,2016,10/08/2016 03:46:57 PM,41.884468215,-87.744106693,"(41.884468215, -87.744106693)"
10701290,HZ456789,10/01/2016 01:30:00 AM,019XX N ST LOUIS AVE,0810,THEFT,OVER $500,STREET,false,false,1422,014,26,22,06,1152951,1912617,2016,10/08/2016 03:46:57 PM,41.916074385,-87.713496911,"(41.916074385, -87.713496911)"
10701254,HZ456777,10/01/2016 01:30:00 AM,049XX W OHIO ST,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1532,015,37,25,14,1143236,1903538,2016,10/08/2016 03:46:57 PM,41.89134772,-87.749416692,"(41.89134772, -87.749416692)"
10701093,HZ456571,10/01/2016 01:30:00 AM,011XX E 43RD ST,0420,BATTERY,AGGRAVATED:KNIFE/CUTTING INSTR,SIDEWALK,false,false,0214,002,4,36,04B,1184598,1876730,2016,10/08/2016 03:46:57 PM,41.816912319,-87.598357726,"(41.816912319, -87.598357726)"
10701092,HZ456557,10/01/2016 01:30:00 AM,015XX S MILLARD AVE,0460,BATTERY,SIMPLE,APARTMENT,false,false,1014,010,24,29,08B,1152294,1892135,2016,10/08/2016 03:46:57 PM,41.859882682,-87.716451672,"(41.859882682, -87.716451672)"
10701075,HZ456567,10/01/2016 01:30:00 AM,0000X W HUBBARD ST,0470,PUBLIC PEACE VIOLATION,RECKLESS CONDUCT,STREET,true,false,1831,018,42,8,24,1176165,1903315,2016,10/08/2016 03:46:57 PM,41.890057206,-87.628491342,"(41.890057206, -87.628491342)"
10701040,HZ456549,10/01/2016 01:35:00 AM,007XX S KOLMAR AVE,0430,BATTERY,AGGRAVATED: OTHER DANG WEAPON,STREET,false,false,1131,011,24,26,04B,1146130,1896239,2016,10/08/2016 03:46:57 PM,41.871263873,-87.738973931,"(41.871263873, -87.738973931)"
10701520,HZ457094,10/01/2016 01:40:00 AM,005XX W RANDOLPH ST,0460,BATTERY,SIMPLE,STREET,false,false,0121,001,42,28,08B,1172512,1901236,2016,10/08/2016 03:46:57 PM,41.884433858,-87.641968197,"(41.884433858, -87.641968197)"
10701037,HZ456547,10/01/2016 01:40:00 AM,009XX N HOYNE AVE,0810,THEFT,OVER $500,RESIDENCE,false,false,1212,012,32,24,06,1162228,1906434,2016,10/08/2016 03:46:57 PM,41.898918736,-87.679586836,"(41.898918736, -87.679586836)"
10701121,HZ456580,10/01/2016 01:42:00 AM,015XX S MILLARD AVE,2820,OTHER OFFENSE,TELEPHONE THREAT,RESIDENCE,false,true,1014,010,24,29,26,1152294,1892135,2016,10/08/2016 03:46:57 PM,41.859882682,-87.716451672,"(41.859882682, -87.716451672)"
10701113,HZ456608,10/01/2016 01:45:00 AM,071XX S INGLESIDE AVE,0460,BATTERY,SIMPLE,STREET,false,false,0324,003,5,69,08B,1183796,1857886,2016,10/08/2016 03:46:57 PM,41.765221581,-87.601887733,"(41.765221581, -87.601887733)"
10701088,HZ456568,10/01/2016 01:45:00 AM,015XX W 49TH ST,2022,NARCOTICS,POSS: COCAINE,VEHICLE NON-COMMERCIAL,true,false,0933,009,20,61,18,1167080,1872242,2016,10/08/2016 03:46:57 PM,41.804989946,-87.662746433,"(41.804989946, -87.662746433)"
10701094,HZ456559,10/01/2016 01:52:00 AM,020XX N BINGHAM ST,1320,CRIMINAL DAMAGE,TO VEHICLE,STREET,false,false,1431,014,1,22,14,1158950,1913450,2016,10/08/2016 03:46:57 PM,41.918239111,-87.691433962,"(41.918239111, -87.691433962)"
10723027,HZ479081,10/01/2016 02:00:00 AM,022XX S WENTWORTH AVE,0460,BATTERY,SIMPLE,OTHER,false,false,0914,009,25,34,08B,1175320,1889607,2016,10/24/2016 03:58:06 PM,41.852460582,-87.632005841,"(41.852460582, -87.632005841)"
10704363,HZ460329,10/01/2016 02:00:00 AM,032XX W 111TH ST,1310,CRIMINAL DAMAGE,TO PROPERTY,VACANT LOT/LAND,false,false,2211,022,19,74,14,1156516,1830821,2016,10/08/2016 03:46:57 PM,41.691543652,-87.702604495,"(41.691543652, -87.702604495)"
10703229,HZ459101,10/01/2016 02:00:00 AM,034XX W DOUGLAS BLVD,1310,CRIMINAL DAMAGE,TO PROPERTY,RESIDENCE,false,false,1021,010,24,29,14,1153757,1893245,2016,10/08/2016 03:46:57 PM,41.862899676,-87.711051839,"(41.862899676, -87.711051839)"
10702045,HZ457098,10/01/2016 02:00:00 AM,064XX S DR MARTIN LUTHER KING JR DR,0486,BATTERY,DOMESTIC BATTERY SIMPLE,APARTMENT,false,true,0312,003,20,69,08B,1180030,1862310,2016,10/08/2016 03:46:57 PM,41.77744854,-87.615555807,"(41.77744854, -87.615555807)"
10701765,HZ457494,10/01/2016 02:00:00 AM,071XX S PERRY AVE,0281,CRIM SEXUAL ASSAULT,NON-AGGRAVATED,STREET,false,false,0731,007,6,69,02,1176637,1857536,2016,10/08/2016 03:46:57 PM,41.764425201,-87.628137962,"(41.764425201, -87.628137962)"
